Status,zpid,Address,City,Zip,Beds,Baths,Square,Zestimate,Sale,Longitude,Latitude,Days,Views,Saves,LastSoldDate,LastSoldPrice,Feature,Date
status,24837835,1810 10th St,Berkeley,CA 94710,4 beds,4 baths,2352 sqft,1251879,1399000,-122.29428,37.870846,82,N/A,16,Jul-16,880000,Type:Multi Family;Year Built:1943;Heating:;Cooling:;Parking:No Data;MLS #:40809310;Days on Zillow:82 Days;Price/sqft:$595,2018/4/27
status,82843775,7771 Ridgeline Dr,Dublin,CA 94568,5 beds,4 baths,3947 sqft,1567636,1498888,-121.971467,37.704524,35,N/A,29,Oct-15,1295000,Type:Single Family;Year Built:2010;Heating:;Cooling:;Parking:3 spaces;Lot:7640 sqft;Days on Zillow:35 Days;Price/sqft:$380,2018/4/27
status,24979797,24653 Surrey Way,Hayward,CA 94544,4 beds,4 baths,2237 sqft,810410,798886,-122.094547,37.653637,2,706,20,Mar-11,400000,Type:Single Family;Year Built:1969;Heating:;Cooling:;Parking:2 spaces;Lot:5227 sqft;Days on Zillow:2 Days;Price/sqft:$357,2018/4/27
status,19257178,183 Locust Ave,Mill Valley,CA 94941,4 beds,3 baths,1622 sqft,1539709,1880000,-122.534415,37.902344,2,908,22,Apr-12,1370000,Type:Single Family;Year Built:1920;Heating:;Cooling:;Parking:No Data;Lot:4356 sqft;Days on Zillow:2 Days;Price/sqft:$1159,2018/4/27
status,18538372,627 Yuba St,Richmond,CA 94805,2 beds,1 bath,1122 sqft,575946,559000,-122.319375,37.93923,2,498,19,Apr-89,184500,Type:Single Family;Year Built:1950;Heating:;Cooling:;Parking:No Data;Lot:5998 sqft;Days on Zillow:2 Days;Price/sqft:$498,2018/4/27
status,15505888,1251 Crespi Dr,Pacifica,CA 94044,3 beds,2 baths,1400 sqft,1137252,1295000,-122.484171,37.590629,8,3364,138,Sep-00,424000,Type:Single Family;Year Built:1958;Heating:Forced air;Cooling:None;Parking:2 spaces;Lot:8999 sqft;Days on Zillow:8 Days;Price/sqft:$925,2018/4/27
status,72551920,1725 Ethan Allen Dr,Brentwood,CA 94513,4 beds,3 baths,2787 sqft,655391,698000,-121.729854,37.958203,2,404,17,Dec-14,530000,Type:Single Family;Year Built:2012;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:8000 sqft;Days on Zillow:2 Days;Price/sqft:$250,2018/4/27
status,19287898,100 Albion Ct,Novato,CA 94947,3 beds,2 baths,1290 sqft,552958,560000,-122.551691,38.082008,9,3306,86,N/A,N/A,Type:Single Family;Year Built:1976;Heating:;Cooling:;Parking:No Data;Lot:1742 sqft;Days on Zillow:9 Days;Price/sqft:$434,2018/4/27
status,24826661,314 Pacific Ave,Piedmont,CA 94611,2 beds,3 baths,2016 sqft,1965973,1850000,-122.226422,37.824651,Less than 1,34,2,Jun-95,469000,Type:Single Family;Year Built:1910;Heating:;Cooling:;Parking:No Data;Lot:7788 sqft;Days on Zillow:Less than 1 day;Price/sqft:$918,2018/4/27
status,19504083,3011 Bryant St,Palo Alto,CA 94306,3 beds,1 bath,1064 sqft,2504063,2395000,-122.130188,37.426083,1,171,12,N/A,N/A,Type:Single Family;Year Built:1952;Heating:;Cooling:None;Parking:Attached Garage;Lot:6459 sqft;Days on Zillow:1 Day;Price/sqft:$2251,2018/4/27
status,19257294,50 Amicita Ave,Mill Valley,CA 94941,4 beds,3 baths,2282 sqft,2141991,2750000,-122.532863,37.899276,3,965,20,Jun-08,2025000,Type:Single Family;Year Built:1946;Heating:;Cooling:;Parking:2 spaces;Lot:6482 sqft;Days on Zillow:3 Days;Price/sqft:$1205,2018/4/27
status,15472334,96 Woodland Ave,Daly City,CA 94015,3 beds,2 baths,1713 sqft,1047405,985000,-122.488658,37.676305,6,1530,43,Feb-07,785000,Type:Single Family;Year Built:1959;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:3402 sqft;Days on Zillow:6 Days;Price/sqft:$575,2018/4/27
status,24886415,1546 138th Ave,San Leandro,CA 94578,2 beds,1 bath,992 sqft,653617,610000,-122.138851,37.715694,2,296,25,Jul-16,582000,Type:Single Family;Year Built:1947;Heating:;Cooling:;Parking:No Data;Lot:5388 sqft;Days on Zillow:2 Days;Price/sqft:$615,2018/4/27
status,19512916,1921 Rock St APT 28,Mountain View,CA 94043,2 beds,2 baths,972 sqft,,888000,-122.088296,37.411531,2,557,68,May-99,253000,Type:Condo;Year Built:1974;Heating:Wall;Cooling:None;Parking:2 spaces;HOA:$494/month;Days on Zillow:2 Days;Price/sqft:$914,2018/4/27
status,18434131,10 Campbell Pl,Danville,CA 94526,6 beds,5 baths,3882 sqft,1933466,1750000,-121.959164,37.816277,22,4494,79,Feb-00,960000,Type:Single Family;Year Built:1998;Heating:;Cooling:;Parking:3 spaces;Lot:0.39 acres;Days on Zillow:22 Days;Price/sqft:$451,2018/4/27
